#systematic_name	standard_name	synonyms
PA0006	yaeD	PA14_00070
PA1294	rnd	PA14_47460
PA1296		PA14_47440
PA1297		PA14_47430
PA1300		PA14_47400
PA1301		PA14_47390
PA1303		PA14_47370
PA1304		PA14_47360
PA1305		PA14_47350
PA1306		PA14_47340
PA1308		PA14_47320
PA1309		PA14_47310
PA1310	phnW	PA14_47300
PA1311	phnX	PA14_47280
PA1312		PA14_47270
PA1313		PA14_47260
PA1314		PA14_47250
PA1315		PA14_47240
PA1316		PA14_47230
PA1317	cyoA	PA14_47210
PA1318	cyoB	PA14_47190
PA1319	cyoC	PA14_47180
PA1320	cyoD	PA14_47160
PA1321	cyoE	PA14_47150
PA1323		PA14_47130
PA1324		PA14_47120
PA1324.1	P9	
PA1326	ilvA2	PA14_47100
PA1327		PA14_47090
PA1328		PA14_47080
PA1329		PA14_47070
PA1330		PA14_47060
PA1332		PA14_47030
PA1333		PA14_47010
PA1334		PA14_47000
PA1335	aauR	PA14_46990
PA1336	aauS	PA14_46980
PA1337	ansB	PA14_46970 pga
PA1338	ggt	PA14_46960
PA1339	aatP	PA14_46950
PA1340	aatM	PA14_46930
PA1341	aatQ	PA14_46920
PA1342	aatJ	PA14_46910
PA1343		PA14_46900
PA1345		PA14_46880
PA1346		PA14_46860
PA1347		PA14_46850
PA1348		PA14_46840
PA1349		PA14_46830
PA1350		PA14_46820
PA1351		PA14_46810
PA1352		PA14_46800
PA1353		PA14_46780
PA1354		PA14_46770
PA1355		PA14_46760
PA1356		PA14_46750
PA1357		PA14_46740
PA1358		PA14_46720
PA1359		PA14_46710
PA1361	norM	PA14_46680 pmpM ydhE
PA1362		PA14_46670
PA1363		PA14_46660
PA1364		PA14_46650
PA1365		PA14_46640
PA1366		
PA1367		PA14_46630
PA1368		
PA1369		
PA1370		
PA1371		
PA1372		
PA1373	fabF2	PA14_46490
PA1374		PA14_46480
PA1375	pdxB	PA14_46470
PA1376	aceK	PA14_46450
PA1378		PA14_46430
PA1379		PA14_46420
PA1380		PA14_46400
PA1381		
PA1383		
PA1384	galE	
PA1385		
PA1386		
PA1387		
PA1388		
PA1389		
PA1390		
PA1391		
PA1392		
PA1393	cysC	
PA1394		PA14_46390
PA1395		PA14_46380
PA1396		PA14_46370
PA1397		PA14_46360
PA1398		PA14_46340
PA1399		PA14_46330
PA1400		PA14_46320
PA1401		PA14_46310
PA1402		PA14_46300
PA1403		PA14_46290
PA1404		PA14_46280
PA1405		PA14_46270
PA1406		PA14_46260
PA1407		PA14_46250
PA1408		PA14_46240
PA1409	aphA	PA14_46230
PA1411		PA14_46200
PA1412		PA14_46180
PA1414		PA14_46160
PA1415		PA14_46150
PA1416		PA14_46140
PA1417		PA14_46120
PA1418		PA14_46110
PA1419		PA14_46100
PA1420		PA14_46080
PA1421	gbuA	PA14_46070 speB2
PA1422	gbuR	PA14_46060
PA1424		PA14_46020
PA1425		PA14_46010
PA1426		PA14_46000
PA1427		
PA1429		PA14_45970
PA1430	lasR	PA14_45960
PA1431	rsaL	PA14_45950
PA1432	lasI	PA14_45940
PA1433		PA14_45930
PA1434		PA14_45920
PA1435		PA14_45910
PA1436		PA14_45890
PA1437		PA14_45880
PA1438		PA14_45870
PA1440		PA14_45840
PA1441		PA14_45830
PA1443	fliM	PA14_45800
PA1444	fliN	PA14_45790
PA1445	fliO	PA14_45780
PA1446	fliP	PA14_45770
PA1447	fliQ	PA14_45760
PA1448	fliR	PA14_45740
PA1449	flhB	PA14_45720
PA1450		PA14_45710
PA1451		PA14_45700
PA1452	flhA	PA14_45680
PA1453	flhF	PA14_45660
PA1454	fleN	PA14_45640 motR
PA1455	fliA	PA14_45630 rpoF
PA1456	cheY	PA14_45620
PA1457	cheZ	PA14_45610
PA1460	motC	PA14_45560 motA
PA1461	motD	PA14_45540 motB
PA1462		PA14_45520
PA1463		PA14_45510
PA1465		PA14_45480
PA1466		PA14_45470
PA1467		PA14_45460
PA1468		PA14_45450
PA1469		PA14_45440
PA1470		PA14_45430
PA1471		
PA1472		
PA1473		PA14_45410
PA1474		PA14_45400
PA1475	ccmA	PA14_45380 cycV helA
PA1476	ccmB	PA14_45370 cycW cyt10 helB
PA1477	ccmC	PA14_45350 cycZ helC pfcyt1
PA1479	ccmE	PA14_45330 cycJ pfcyt3
PA1480	ccmF	PA14_45310 ccl1 cycK
PA1481	ccmG	PA14_45300 dsbE
PA1482	ccmH	PA14_45290 ccl2 cycL
PA1483	cycH	PA14_45280
PA1484		PA14_45250
PA1485		PA14_45240
PA1486	bapF	PA14_45210
PA1487		PA14_45190
PA1488		PA14_45180
PA1489		PA14_45170
PA1490		PA14_45150
PA1491		PA14_45130
PA1492		PA14_45120
PA1493	cysP	PA14_45110
PA1494	muiA	PA14_45100
PA1495		PA14_45090
PA1496		PA14_45070
PA1497		PA14_45060
PA1498	pykF	PA14_45050 pyk-I
PA1499		PA14_45030
PA1500		PA14_45020
PA1502	gcl	PA14_45000
PA1503		PA14_44990
PA1504		PA14_44980
PA1505	moaA2	PA14_44970
PA1506		PA14_44960
PA1507		PA14_44950
PA1508		PA14_44930
PA1509	tplEi	PA14_44920 tli4
PA1510	tplE	PA14_44910 tle4
PA1511	vgrG2a	PA14_44900
PA1512	hcpA	PA14_03240 PA14_43070 PA14_44890
PA1513		PA14_44880
PA1515	alc	PA14_44850
PA1516		PA14_44840
PA1517		PA14_44830
PA1518		PA14_44820
PA1519		PA14_44800
PA1520		PA14_44780
PA1522		PA14_44760
PA1523	xdhB	PA14_44740
PA1524	xdhA	PA14_44710
PA1525	alkB2	PA14_44700 alkB
PA1526		PA14_44690
PA1527		PA14_44680
PA1528	zipA	PA14_44670
PA1529	lig	PA14_44660 dnaL ligA
PA1530		PA14_44650
PA1530.1	ffs	
PA1531		PA14_44640
PA1532	dnaX	PA14_44630
PA1533		PA14_44620
PA1534	recR	PA14_44610
PA1535		PA14_44590
PA1536		PA14_44580
PA1537		PA14_44570
PA1538		PA14_44560
PA1539		PA14_44540
PA1540		PA14_44530
PA1541		PA14_44520
PA1542		PA14_44510
PA1543	apt	PA14_44500
PA1544	anr	PA14_44490
PA1545		PA14_44480
PA1546	hemN	PA14_44470
PA1547		PA14_44460
PA1549	copA2	PA14_44440 fixI
PA1550		PA14_44430
PA1552	ccoP1	PA14_44400
PA1552.1	ccoQ1	PA14_44390
PA1553	ccoO1	PA14_44380 ccoO fixO
PA1554	ccoN1	PA14_44370 ccoN cytN fixN
PA1555	ccoP2	PA14_44360 ccoP fixP
PA1555.1	ccoQ2	
PA1556	ccoO2	PA14_44350 ccoO fixO
PA1557	ccoN2	PA14_44340 ccoN cytN fixN
PA1558		PA14_44320
PA1559		PA14_44311
PA1560		
PA1561	aer	PA14_44300
PA1562	acnA	PA14_44290 acn
PA1564		PA14_44270
PA1565	pauB2	PA14_44260
PA1566	pauA3	PA14_44240
PA1567		PA14_44210
PA1568		PA14_44200
PA1569		PA14_44190
PA1570		PA14_44180
PA1571		PA14_44170
PA1572		PA14_44160
PA1575		PA14_44130
PA1576		PA14_44120
PA1577		PA14_44110
PA1578		PA14_44100
PA1579		PA14_44080
PA1580	gltA	PA14_44070 cisY
PA1581	sdhC	PA14_44060 cybA
PA1582	sdhD	PA14_44050
PA1583	sdhA	PA14_44030
PA1584	sdhB	PA14_44020
PA1585	sucA	PA14_44010
PA1586	sucB	PA14_44000
PA1587	lpd	PA14_43970 lpdA
PA1588	sucC	PA14_43950
PA1589	sucD	PA14_43940
PA1590	braB	PA14_43920
PA1591		PA14_43910
PA1592		PA14_43900
PA1593		PA14_43890
PA1594		PA14_43880
PA1595		PA14_43870
PA1596	htpG	PA14_43850
PA1597		PA14_43840
PA1598		PA14_43830
PA1599		PA14_43820
PA1600		PA14_43810
PA1601		PA14_43790
PA1602		PA14_43780
PA1603		PA14_43770
PA1604		PA14_43760
PA1605		PA14_43740
PA1606		PA14_43730
PA1607		PA14_43720
PA1608		PA14_43710
PA1609	fabB	PA14_43690
PA1610	fabA	PA14_43680
PA1611		PA14_43670
PA1612		PA14_43660
PA1613		PA14_43650
PA1614	gpsA	PA14_43640 gpdA
PA1615		PA14_43630
PA1617		PA14_43610
PA1619		PA14_43580
PA1620		PA14_43570
PA1621		PA14_43550
PA1622		PA14_43540
PA1623		PA14_43530
PA1624		PA14_43520
PA1625		PA14_43510
PA1626		PA14_43490
PA1627		PA14_43480
PA1628		PA14_43460
PA1629		PA14_43440
PA1630		PA14_43430
PA1631		PA14_43420
PA1632	kdpF	PA14_43405
PA1633	kdpA	PA14_43400
PA1634	kdpB	PA14_43380 atkB
PA1635	kdpC	PA14_43370 atkC
PA1636	kdpD	PA14_43350
PA1637	kdpE	PA14_43340
PA1639		PA14_43310
PA1640		PA14_43300
PA1641		PA14_43290
PA1642	selD	PA14_43280
PA1644		PA14_43240
PA1645		PA14_43230
PA1646		PA14_43220
PA1647		PA14_43200
PA1648		PA14_43190
PA1649		PA14_43180
PA1650		PA14_43170
PA1651		PA14_43160
PA1652		PA14_43150
PA1653		PA14_43140
PA1654		PA14_43130
PA1655		PA14_43110
PA1656	hsiA2	PA14_43050
PA1657	hsiB2	PA14_43040
PA1658	hsiC2	PA14_43030
PA1659	hsiF2	PA14_43020 tssE2
PA1660	hsiG2	PA14_43000
PA1661	hsiH2	PA14_42990
PA1662	clpV2	PA14_42980
PA1663	sfa2	PA14_42970
PA1664	orfX	PA14_42960
PA1665	fha2	PA14_42950
PA1666	lip2	PA14_42940
PA1667	hsiJ2	PA14_42920
PA1668	dotU2	PA14_42910
PA1669	icmF2	PA14_42900
PA1670	stp1	PA14_42890
PA1671	stk1	PA14_42880
PA1672		PA14_42870
PA1673		PA14_42860
PA1674	folE2	PA14_42850
PA1675		PA14_42840
PA1676		PA14_42830
PA1677		PA14_42820
PA1679		PA14_42780
PA1680		PA14_42770
PA1681	aroC	PA14_42760
PA1682		PA14_42750
PA1683		PA14_42740
PA1684		PA14_42730
PA1685	masA	PA14_42720
PA1686	alkA	PA14_42700
PA1687	speE	PA14_42690
PA1688		PA14_42680
PA1689		PA14_42670
PA1690	pscU	PA14_42660
PA1691	pscT	PA14_42640
PA1693	pscR	PA14_42620
PA1694	pscQ	PA14_42610
PA1695	pscP	PA14_42600
PA1696	pscO	PA14_42580
PA1698	popN	PA14_42550
PA1699	pcr1	PA14_42540
PA1700	pcr2	PA14_42530
PA1701	pcr3	PA14_42520
PA1702	pcr4	PA14_42510
PA1703	pcrD	PA14_42500
PA1704	pcrR	PA14_42490
PA1705	pcrG	PA14_42480
PA1706	pcrV	PA14_42470
PA1707	pcrH	PA14_42460
PA1708	popB	PA14_42450 pepB
PA1709	popD	PA14_42440 pepD
PA1710	exsC	PA14_42430
PA1711	exsE	PA14_42410
PA1712	exsB	PA14_42400
PA1713	exsA	PA14_42390
PA1714	exsD	PA14_42380
PA1715	pscB	PA14_42360
PA1716	pscC	PA14_42350
PA1717	pscD	PA14_42340
PA1718	pscE	PA14_42320
PA1719	pscF	PA14_42310
PA1720	pscG	PA14_42300
PA1721	pscH	PA14_42290
PA1722	pscI	PA14_42280
PA1723	pscJ	PA14_42270
PA1724	pscK	PA14_42260
PA1725	pscL	PA14_42250
PA1726	bglX	PA14_42230
PA1727	mucR	PA14_42220
PA1728		PA14_42200
PA1729		PA14_42180
PA1730		PA14_42160
PA1731		PA14_42150
PA1732		PA14_42140
PA1733		PA14_42130
PA1734		PA14_42120
PA1735		PA14_42100
PA1736		PA14_42090
PA1738		PA14_42060
PA1739		PA14_42050
PA1740		PA14_42030
PA1741		PA14_42020
PA1742	pauD2	PA14_42010
PA1743		PA14_42000
PA1744		PA14_41990
PA1745		PA14_41980
PA1746		PA14_41970
PA1747		PA14_41960
PA1748		PA14_41950
PA1749		PA14_41930
PA1750		PA14_41920
PA1751		PA14_41910
PA1752		PA14_41900
PA1753		PA14_41880
PA1754	cysB	PA14_41870
PA1755		PA14_41860
PA1756	cysH	PA14_41840
PA1757	thrH	PA14_41830
PA1758	pabB	PA14_41820
PA1759		PA14_41810
PA1760		PA14_41800
PA1761		PA14_41790
PA1762		PA14_41780
PA1763		PA14_41760
PA1764		PA14_41750
PA1765		PA14_41740
PA1766		PA14_41730
PA1767		PA14_41710
PA1768		PA14_41690
PA1770	ppsA	PA14_41670
PA1771	estX	PA14_41650
PA1773	cmaX	PA14_41630
PA1774	crfX	PA14_41610 cfrX
PA1775	cmpX	PA14_41590
PA1776	sigX	PA14_41575
PA1777	oprF	PA14_41570
PA1778	cobA	PA14_41563
PA1780	nirD	PA14_41540 nasE
PA1781	nirB	PA14_41530 nasD
PA1781.1	nalA	P11
PA1782		PA14_41520
PA1783	nasA	PA14_41510 nasT
PA1784		PA14_41500
PA1785	nasT	PA14_41490
PA1786	nasS	PA14_41480 nasF
PA1787	acnB	PA14_41470
PA1788		PA14_41450
PA1789		PA14_41440
PA1790		PA14_41430
PA1791		PA14_41420
PA1793	ppiB	PA14_41390 cypB
PA1794	glnS	PA14_41380
PA1795	cysS	PA14_41360
PA1796	folD	PA14_41350
PA1796.1		
PA1796.2		
PA1796.3		
PA1796.4		
PA1797		PA14_41280
PA1798	parS	PA14_41270
PA1799	parR	PA14_41260
PA1800	tig	PA14_41250
PA1801	clpP	PA14_41240
PA1802	clpX	PA14_41230
PA1803	lon	PA14_41220 capR deg lopA muc
PA1804	hupB	PA14_41210
PA1804.1		
PA1805	ppiD	PA14_41190
PA1806	fabI	PA14_41170 envM
PA1807	nppD	PA14_41160 oppE
PA1808	nppC	PA14_41150 oppD
PA1809	nppB	PA14_41140 oppC
PA1810	nppA2	PA14_41130 oppB
PA1811	nppA1	PA14_41110 oppA
PA1812	mltD	PA14_41090 dniR
PA1814	kerV	PA14_41070
PA1815	rnhA	PA14_41060
PA1816	dnaQ	PA14_41050 mutD
PA1817		PA14_41030
PA1818	cadA	PA14_41020 adi ldcA ldcC speC
PA1820	nhaB	PA14_41000
PA1821		PA14_40980
PA1822	fimL	PA14_40960
PA1823	nudC	PA14_40950 yjaD
PA1824		PA14_40940
PA1825		PA14_40930
PA1826		PA14_40910
PA1827		PA14_40900
PA1828		PA14_40890
PA1829		PA14_40880
PA1830		PA14_40860
PA1831		PA14_40850
PA1834		
PA1835		PA14_40800
PA1836		PA14_40790
PA1837		PA14_40780
PA1838	cysI	PA14_40770
PA1839		PA14_40730
PA1840		PA14_40710
PA1841		PA14_40700
PA1842		PA14_40690
PA1843	metH	PA14_40670
PA1844	tse1	PA14_40660
PA1845	tsi1	PA14_40650
PA1846	cti	PA14_40640
PA1847	nfuA	PA14_40630 yhgI
PA1848		PA14_40620
PA1849		PA14_40610
PA1850		PA14_40600
PA1851		PA14_40570
PA1852		PA14_40560
PA1853		PA14_40550
PA1854		PA14_40540
PA1855		PA14_40520
PA1856		PA14_40510
PA1858	str	PA14_40450
PA1859		PA14_40440
PA1860		PA14_40430
PA1861	modC	PA14_40420
PA1862	modB	PA14_40410
PA1863	modA	PA14_40390
PA1864		PA14_40380
PA1865		PA14_40370
PA1866		PA14_40350
PA1867	xphA	PA14_40330
PA1868	xqhA	PA14_40320
PA1869	acp1	PA14_40310
PA1870		PA14_40300
PA1871	lasA	PA14_40290
PA1872		PA14_40280
PA1873		PA14_40270
PA1874		PA14_40260
PA1876		PA14_40240
PA1877		PA14_40230
PA1878		PA14_40220
PA1879		PA14_40210
PA1880		PA14_40200
PA1881		PA14_40180
PA1882		PA14_40170
PA1883		PA14_40160
PA1884		PA14_40150
PA1885		PA14_40130
PA1886	polB	PA14_40120 dinA
PA1887		PA14_40110
PA1888		PA14_40100
PA1889		PA14_40080
PA1890		PA14_40070
PA1891		PA14_40060
PA1892		PA14_40050
PA1893		PA14_40040
PA1894		PA14_40030
PA1895		PA14_40020
PA1896		PA14_40010
PA1897		PA14_39990
PA1898	qscR	PA14_39980 phzR
PA1899	phzA2	PA14_39970
PA1900	phzB2	PA14_39960
PA1901	phzC2	PA14_39945
PA1902	phzD2	PA14_09450
PA1903	phzE2	PA14_09440
PA1904	phzF2	PA14_09420 PA14_39890
PA1905	phzG2	PA14_09410
PA1906		PA14_39870
PA1907		PA14_39860
PA1908		PA14_39850
PA1909		PA14_39830
PA1910	femA	PA14_39820 ufrA
PA1911	femR	PA14_39810
PA1912	femI	PA14_39800
PA1913		PA14_39790
PA1915		PA14_39770
PA1916		PA14_39750
PA1917		PA14_39730
PA1918		PA14_39720
PA1919	nrdG	PA14_39710
PA1920	nrdD	PA14_39690
PA1921		PA14_39660
PA1923		PA14_39640
PA1924		PA14_39630
PA1925		PA14_39620
PA1927	metE	PA14_39590
PA1928	rimJ	PA14_39580
PA1929		PA14_39570
PA1930		PA14_39560
PA1931		PA14_39540
PA1932		PA14_39530
PA1934		PA14_39500
PA1935		
PA1936		
PA1937		
PA1938		
PA1939		PA14_60070
PA1940		PA14_39460
PA1941		PA14_39440
PA1942		PA14_39420
PA1943		PA14_39410
PA1944		PA14_39390
PA1945		PA14_39360
PA1946	rbsB	PA14_39350
PA1947	rbsA	PA14_39330
PA1948	rbsC	PA14_39320
PA1949	rbsR	PA14_39300
PA1950	rbsK	PA14_39280
PA1951	fapF	PA14_39270
PA1952	fapE	PA14_39260
PA1953	fapD	PA14_39250
PA1954	fapC	PA14_39240
PA1955	fapB	PA14_39230
PA1956	fapA	PA14_39220
PA1958		PA14_39200
PA1959	bacA	PA14_39190
PA1960		PA14_39180
PA1961		PA14_39160
PA1962	azoR2	PA14_39150
PA1963		PA14_39140
PA1965		PA14_39110
PA1966		PA14_39100
PA1967		PA14_39090
PA1968		PA14_39080
PA1969		PA14_39070
PA1970		PA14_39060
PA1971	braZ	PA14_39050
PA1972		PA14_39020
PA1973	pqqF	PA14_39010
PA1974		PA14_39000
PA1975		PA14_38990
PA1976	ercS'	PA14_38970
PA1977		PA14_38950
PA1978	erbR	PA14_38930 agmR
PA1979	eraS	PA14_38910 exaD
PA1980	eraR	PA14_38900 exaE
PA1981		PA14_38880
PA1982	exaA	PA14_38860
PA1983	exaB	PA14_38850
PA1984	exaC	PA14_38840 exaC1
PA1985	pqqA	PA14_38825
PA1986	pqqB	PA14_38820
PA1987	pqqC	PA14_38800
PA1988	pqqD	PA14_38790
PA1989	pqqE	PA14_38780
PA1990	pqqH	PA14_38770
PA1991		PA14_38750
PA1992	ercS	PA14_38740
PA1994		PA14_38720
PA1995		PA14_38710
PA1996	ppiC1	PA14_38700
PA1997		PA14_38690
PA1998	dhcR	PA14_38680
PA1999	dhcA	PA14_38660 atoD pcaI scoA
PA2000	dhcB	PA14_38640 atoA scoB
PA2001	atoB	PA14_38630
PA2003	bdhA	PA14_38590
PA2004		PA14_38580
PA2006		PA14_38560
PA2007	maiA	PA14_38550
PA2008	fahA	PA14_38530
PA2009	hmgA	PA14_38510
PA2010	hmgR	PA14_38500
PA2011	liuE	PA14_38490 gnyL mvaB
PA2012	liuD	PA14_38480 accA gnyA mccA
PA2013	liuC	PA14_38470 gnyH menB
PA2014	liuB	PA14_38460 gnyB
PA2015	liuA	PA14_38440 gnyD ivd
PA2016	liuR	PA14_38430 gnyR
PA2017		PA14_38420
PA2018	mexY	PA14_38410 amrB mexH
PA2019	mexX	PA14_38395 amrA mexG
PA2020	mexZ	PA14_38380 amrR
PA2021		PA14_38370
PA2022		PA14_38360
PA2023	galU	PA14_38350 gtaB hasC
PA2024		PA14_38340
PA2025	gor	PA14_38330
PA2027		PA14_38310
PA2028		PA14_38300
PA2029		PA14_38290
PA2030		PA14_38270
PA2031		PA14_38260
PA2033		PA14_38220
PA2034		PA14_38210
PA2035		PA14_38200
PA2036		PA14_38190
PA2037		PA14_38180
PA2038		PA14_38170
PA2039		PA14_38160
PA2040	pauA4	PA14_38140
PA2041		PA14_38130
PA2043		PA14_38090
PA2044		PA14_38080
PA2046		PA14_38050
PA2047	cmrA	PA14_38040
PA2048		PA14_38020
PA2049		PA14_38010
PA2050		PA14_37990
PA2051		PA14_37980
PA2052	cynS	PA14_37965
PA2053	cynT	PA14_37950
PA2054	cynR	PA14_37940
PA2055		PA14_37915
PA2056		PA14_37910
PA2057	sppR	PA14_37900
PA2058	sppA	PA14_37880
PA2059	sppB	PA14_37870
PA2060	sppC	PA14_37850
PA2061	sppD	PA14_37840
PA2062		PA14_37830
PA2063		PA14_37820
PA2064	pcoB	PA14_37810 copB
PA2065	pcoA	PA14_37790 copA
PA2066		PA14_37780
PA2067		PA14_37770
PA2068		PA14_37760
PA2069		PA14_37745
PA2070		PA14_37730
PA2071	fusA2	PA14_37710
PA2072		PA14_37690
PA2073		
PA2074		
PA2075		PA14_37680
PA2076		PA14_37660
PA2077		PA14_37650
PA2078		PA14_37640
PA2079		PA14_37630
PA2080	kynU	PA14_37610
PA2081	kynB	PA14_37590
PA2082	kynR	PA14_37580
PA2083		PA14_37570
PA2085		PA14_37550
PA2086		PA14_37530
PA2087		PA14_37520
PA2088		PA14_37510
PA2089		PA14_37490
PA2090		PA14_37470
PA2091		PA14_37460
PA2092		PA14_37440
PA2093		PA14_37430
PA2094		PA14_37420
PA2095		PA14_37410
PA2096		PA14_37400
PA2097		PA14_37380
PA2098		PA14_37370
PA2099		PA14_37360
PA2100		
PA2101		
PA2102		
PA2104		
PA2105		
PA2106		
PA2107		PA14_37350
PA2108		PA14_37340
PA2109		PA14_37320
PA2110		PA14_37310
PA2111		PA14_37290
PA2112		PA14_37270
PA2113	opdO	PA14_37260
PA2114		PA14_37250
PA2115		PA14_37220
PA2116		PA14_37210
PA2117		PA14_37200
PA2118	ada	PA14_37190
PA2120		PA14_37150
PA2121		PA14_37140
PA2122		PA14_37130
PA2123		PA14_37120
PA2124		PA14_37100
PA2125		PA14_37090
PA2126	cgrC	PA14_37080
PA2126.1	cgrB	
PA2127	cgrA	PA14_37070
PA2128	cupA1	PA14_37060
PA2129	cupA2	PA14_37040
PA2130	cupA3	PA14_37030
PA2131	cupA4	PA14_37010
PA2132	cupA5	PA14_37000
PA2133		PA14_36990
PA2134		PA14_36980
PA2135		PA14_36960
PA2136		PA14_36930
PA2137		PA14_36920
PA2138	ligD	PA14_36910
PA2139		
PA2140		PA14_36890
PA2141		PA14_36880
PA2143		PA14_36850
PA2144	glgP	PA14_36840
PA2145		PA14_36830
PA2147	katE	PA14_36810
PA2148		PA14_36780
PA2149		PA14_36770
PA2150		PA14_36760
PA2151		PA14_36740
PA2152		PA14_36730
PA2153	glgB	PA14_36710
PA2157		PA14_36670
PA2158		PA14_36660
PA2159		PA14_36650
PA2161		PA14_36620
PA2162		PA14_36605
PA2163		PA14_36590
PA2164		PA14_36580
PA2166		PA14_36560
PA2167		PA14_36550
PA2168		PA14_36540
PA2169		PA14_36530
PA2170		PA14_36900 PA14_42710
PA2171		PA14_36520
PA2172		PA14_36500
PA2173		PA14_36490
PA2174		PA14_36470
PA2175		PA14_36460
PA2176		PA14_36450
PA2177		PA14_36420
PA2178		PA14_36410
PA2179		PA14_36390
PA2180		PA14_36375
PA2181		PA14_36370
PA2182		
PA2183		
PA2185	katN	
PA2186		
PA2187		PA14_36360
PA2188		
PA2189		PA14_36350
PA2190		
PA2191	exoY	PA14_36345
PA2192		
PA2193	hcnA	PA14_36330
PA2194	hcnB	PA14_36320
PA2195	hcnC	PA14_36310
PA2196		PA14_36300
PA2198		PA14_36280
PA2199		PA14_36270
PA2200		PA14_36260
PA2201		PA14_36250
PA2202		PA14_36230
PA2203		PA14_36220
PA2204		PA14_36200
PA2205		PA14_36190
PA2206		PA14_36180
PA2207		PA14_36170
PA2208		PA14_36150
PA2209		PA14_36130
PA2210		PA14_36120
PA2211		PA14_36110
PA2212		PA14_36100
PA2214		PA14_36080
PA2215	lyxD	PA14_36070
PA2216		PA14_36060
PA2217		PA14_36050
PA2219	opdE	
PA2221		
PA2222		PA14_59620
PA2223		
PA2224		
PA2225		
PA2226	qsrO	PA14_58930
PA2227	vqsM	
PA2228		
PA2230		
PA2231	pslA	
PA2232	pslB	
PA2233	pslC	
PA2234	pslD	
PA2235	pslE	PA14_35690
PA2236	pslF	PA14_35680
PA2237	pslG	PA14_35670
PA2238	pslH	PA14_35650
PA2239	pslI	PA14_35640
PA2240	pslJ	PA14_35630
PA2241	pslK	PA14_35620
PA2242	pslL	PA14_35600
PA2243	pslM	PA14_35590
PA2244	pslN	PA14_35570
PA2245	pslO	PA14_35550
PA2246	bkdR	PA14_35540
PA2247	bkdA1	PA14_35530
PA2248	bkdA2	PA14_35520
PA2249	bkdB	PA14_35500
PA2250	lpdV	PA14_35490
PA2251		PA14_35470
PA2252		PA14_35460
PA2253	ansA	PA14_35440
PA2254	pvcA	PA14_35430
PA2255	pvcB	PA14_35420
PA2256	pvcC	PA14_35400
PA2257	pvcD	PA14_35390
PA2258	ptxR	PA14_35380
PA2259	ptxS	PA14_35370
PA2264		PA14_35300
PA2266		PA14_35270
PA2267		PA14_35250
PA2268		PA14_35240
PA2269		PA14_35230
PA2270		PA14_35210
PA2271		PA14_35200
PA2272	pbpC	PA14_35190
PA2273	soxR	PA14_35170
PA2274		PA14_35160
PA2276		PA14_35140
PA2277	arsR	PA14_35130
PA2278	arsB	PA14_35110
PA2279	arsC	PA14_35100
PA2281		PA14_35070
PA2282		PA14_35060
PA2283		PA14_35050
PA2284		PA14_35040
PA2285		PA14_35030
PA2286		PA14_35020
PA2287		PA14_35010
PA2288		PA14_35000
PA2289		PA14_34990
PA2290	gcd	PA14_34970
PA2292		PA14_34940
PA2293		PA14_34930
PA2294		
PA2295		
PA2296		
PA2297		PA14_34920
PA2298		PA14_34900
PA2299		PA14_34880
PA2300	chiC	PA14_34870
PA2301		PA14_34850
PA2302	ambE	PA14_34840
PA2303	ambD	PA14_34830
PA2304	ambC	PA14_34820
PA2305	ambB	PA14_34810
PA2306	ambA	PA14_34800
PA2307		PA14_34790
PA2308		PA14_34780
PA2309		PA14_34770
PA2310		PA14_34750
PA2311		PA14_34740
PA2312		PA14_34730
PA2313		PA14_34720
PA2314		PA14_34710
PA2315		PA14_34700
PA2316		PA14_34690
PA2317		PA14_34680
PA2318		PA14_34670
PA2319		
PA2320	gntR	PA14_34660 gnuR
PA2321	gntK	PA14_34640 gluconokinase gntV gnuK
PA2324		PA14_34580
PA2325		PA14_34550
PA2326		PA14_34540
PA2327		PA14_34520
PA2328		PA14_34510
PA2329		PA14_34500
PA2330		PA14_34490
PA2331		PA14_34460
PA2332		PA14_34450
PA2333		
PA2334		
PA2336		
PA2337	mtlR	PA14_34440
PA2342	mtlD	PA14_34360
PA2343	mtlY	PA14_34350
PA2344	mtlZ	PA14_34340 frk
PA2345		PA14_34330
PA2346		PA14_34320
PA2347		PA14_34300
PA2348		PA14_34290
PA2349		PA14_34280
PA2350		PA14_34270
PA2351		PA14_34260
PA2352		PA14_34250
PA2353		PA14_34230
PA2354	sfnR1	PA14_34210
PA2356	msuD	PA14_34190
PA2357	msuE	PA14_34180
PA2358		PA14_34170
PA2360	hsiA3	PA14_34140
PA2361	icmF3	PA14_34130
PA2362	dotU3	PA14_34110
PA2363	hsiJ3	PA14_34100
PA2364	lip3	PA14_34080
PA2365	hsiB3	PA14_34070
PA2366	hsiC3	PA14_34050 puuD
PA2367	hcp3	PA14_34030
PA2368	hsiF3	PA14_34020
PA2369	hsiG3	PA14_34010
PA2370	hsiH3	PA14_34000
PA2371	clpV3	PA14_33990
PA2372		
PA2373	vgrG3	PA14_33960
PA2374	tseF	PA14_33940
PA2375		PA14_33930
PA2376		PA14_33920
PA2377		PA14_33910
PA2378		PA14_33900
PA2379		PA14_33890
PA2380		PA14_33880
PA2381		PA14_33870
PA2382	lldA	PA14_33860
PA2383		PA14_33840
PA2384		PA14_33830
PA2385	pvdQ	PA14_33820
PA2386	pvdA	PA14_33810
PA2387	fpvI	PA14_33800
